Gruppe/Kurstag,Familie,Gattung,Art,Trivialname,Bestimmung Klausur optisch,Bestimmung Klausur akustisch
Coleoptera,Carabidae,Amara,aenea,,Gattung (wissenschaftl.)
,Carabidae,Carabus,coriaceus,,Art (wissenschaftl.)
,Carabidae,Carabus ,auratus,,Art (wissenschaftl.)
,Carabidae,Carabus ,hortensis,,Art (wissenschaftl.)
,Carabidae,Harpalus ,rufipes,,Gattung (wissenschaftl.)
,Carabidae,Poecilus ,cupreus ,,Gattung (wissenschaftl.)
,Cleridae,Trichides ,apiarius,Gemeiner Bienenkäfer (Bienenwolf),Art
,Cantharidae,Rhagonycha,fulva,Roter Weichkäfer,Art Familie (deutsch)
,Silphidae,Nicrophorus ,vespillo,Gemeiner Totengräber,Art Familie (wissenschaftl.)
Hymenoptera,Andrenidae,Andrena,cineraria,Graue Sandbiene,Art
    Hautflügler,Andrenidae,Bombus,lapidarius,,Art
Bienen Hummeln,Andrenidae,Bombus,pascuorum,,Art
Hornissen Westen,Andrenidae,Bombus,terrestris aggr.,,Art
,Megachilidae,Osmia,bicornis,Rote Mauerbiene,Art
,Apidae,Apis,mellifera,Honigbiene,Art
,Halictidae,Halictus,,Furchenbienen,Gattung (wissenschaftl.)
,Halictidae,Lasioglossum,,Fuchenbienen / Schmalbienen,Gattung (wissenschaftl.)
Diptera,Syrphidae,Sphaerophoria ,scripta,Gewöhnliche Langbauchschwebfliege,Art
,Asilidae,,,Raubfliegen,Familie
Lepidoptera,Nymphalidae,Aglais,urticae,Kleiner Fuchs,Art
,Nymphalidae,Inachis,io,Tagpfauenauge,Art
,Nymphalidae,Vanessa,atalanta,Admiral,Art
,Nymphalidae,Argynnis,paphia,Kaisermantel,Art
,Satyridae,Maniola,jurtina,Großes Ochsenauge,Art
,Satyridae,Coenonympha,pamphilus,Kleines Wiesenvögelchen,Art
,Satyridae,Pararge,aegeria,Waldbrettspiel,Art
,Satyridae,Aphantopus ,hyperantus,Brauner Waldvogel,Art
,Pieridae,Anthocharis,cardamines,Aurorafalter,Art
,Pieridae,Gonepteryx,rhamni,Zitronenfalter,Art
,Pieridae,Pieris,napi,Grünader-Weißling,Art
,Pieridae,Pieris,brassicae,Großer Kohlweißling,Art
,Pieridae,Pieris,rapae,Kleiner Kohlweißling,Art
,Zygaenidae,Zygaena ,filipendulae,Sechsfleck-Widderchen,Art
,Lycaenidae,Polyommatus,icarus,Hauhechel-Bläuling,Familie
,Hesperidae,Thymelicus,lineola,Schwarzholbiger Braunkopf-Dickkopffalter,Art
,Erebidae,Tyria ,jacobaeae,Jakobskrautbär,Art
Odonata,Calopterygidae,Calopteryx,splendens,Gebänderte Prachtlibelle,Art
,Coenagrionidae,Coenagrion,puella,Hufeisen-Azurjungfer,Gattung
,Coenagrionidae,Enallagma,cyathigerum,Gemeine Becherjungfer,Gattung
,Coenagrionidae,Erythromma ,najas,Großes Granatauge,Gattung (deutsch)
,Coenagrionidae,Pyrrhosoma,nymphula,Frühe Adonislibelle,Gattung
,Plarycnemididae,Platynemis,pennipes,Blaue Federlibelle,Familie (deutsch)
,Aeschnidae,Anax,imperator,Große Königslibelle,Art
,Libellulidae,Libellula,depressa,Plattbauch,Art
,Libellulidae,Libellula,quadrimaculata,Vierfleck,Art
,Libellulidae,Sympetrum,saguineum,Blutrote Heidelibelle,Art
,Libellulidae,Orthetrum,cancellatum,Großer Blaupfeil,Art
,Libellulidae,Orthetrum,coerulescens,Kleiner Blaupfeil,Art
,Lestidae,Chalcolestes ,viridis,Gemeine Teichjungfer,Art
Orthoptera,Tettigoniidae,Roeseliana ,roeselii,Roesels-Beißschrecke,Art,Art
