Artname
Emberiza citrinella
Prunella modularis
Turdus merula
Turdus pilaris
Turdus philomelos
Anas crecca
Coccothraustes coccothraustes
Carduelis carduelis
Chloris chloris
Fringilla coelebs
Buteo buteo
Accipiter nisus
Milvus milvus
Falco tinnunculus
Cuculus canorus
Alauda arvensis
Poecile palustris
Cyanistes caeruleus
Parus major
Lophophanes cristatus
Periparus ater
Luscinia megarhynchos
Muscicapa striata
Passer montanus
Passer domesticus
Motacilla cinerea
Anthus pratensis
Motacilla alba
Lanius collurio
Acrocephalus scirpaceus
Phylloscopus collybita
Sylvia communis
Sylvia atricapilla
